Capital,Number of Nodes,Average Node Degree,Total Length (m),Average Street Length (m),Average Betweenness Centrality (Nodes),Average Betweenness Centrality (Edges),Orientation Entropy,Normalized Measure of Orientation-Order,Proportion of Dead-ends,Proportion of k=4 Intersections,Detour Index,Cluster
Barcelona,8885,3.712099043331457,1392727.8832879192,99.84428154619825,0.0050111892665506,0.0027578837140113,3.462362082457871,0.1072272504012356,0.0723691615081598,0.2929656724817107,1.0493215491359136,3
Girona,2104,4.173003802281369,268903.538751483,87.87697344819706,0.0167335812659982,0.0082363165561045,3.5446243541464453,0.0350853681816908,0.0983840304182509,0.151615969581749,1.0689629696515566,4
Lleida,3240,4.178395061728395,626246.0747567256,128.75124892202416,0.0121947206061949,0.0059782182976519,3.549163541201997,0.0310230281209278,0.066358024691358,0.1518518518518518,1.0530320066921952,5
Tarragona,2768,3.8908959537572256,431954.8774003977,107.74629019715582,0.0128937907445967,0.0068034556865186,3.565359390806284,0.0164590303879647,0.0968208092485549,0.1076589595375722,1.0807993206388822,4
Mataró,1718,3.924330616996508,220399.80654042296,82.208059134809,0.0165719757964976,0.0087291307839624,3.526996571196281,0.0507804147691151,0.0477299185098952,0.2159487776484284,1.058411276348702,4
Sabadell,3144,4.001908396946565,398494.7039479566,79.36560524755161,0.0111299245112347,0.0057155612075452,3.407517331125957,0.1537675305368963,0.0407124681933842,0.2888040712468193,1.036334844148231,3
Terrassa,3654,3.844553913519431,501453.8274987275,87.45270796978156,0.0093863623583805,0.0050206555238493,3.4472075769980366,0.1202116488455143,0.057471264367816,0.2635467980295566,1.044047097262115,3
Manresa,1524,3.854330708661417,221078.40212810776,99.31644300454076,0.0163901785207764,0.0088281285617665,3.576732389383241,0.006167018249247,0.097769028871391,0.1364829396325459,1.0792906140890073,4
Vic,1295,4.012355212355212,168060.06544762102,86.2731342133578,0.0219103946613028,0.0112847666950632,3.527091255189287,0.0506964558416452,0.0555984555984555,0.1521235521235521,1.0372875771873695,4
Igualada,982,4.226069246435845,113025.93343149243,73.63252992279638,0.0234578049908653,0.011559813623722,3.426465241003212,0.1378295198744776,0.0346232179226069,0.2057026476578411,1.0203654949880108,3
Vilafranca del Penedès,787,4.094027954256671,106141.63236539236,88.89583950200364,0.0257182612865953,0.0131299453564329,3.4807607423148634,0.0913354202094111,0.0457433290978398,0.1804320203303684,1.0416620712034763,3
Vilanova i la Geltrú,1614,3.728624535315985,211632.58573377368,86.41591904196557,0.0184839686475164,0.010222246841373,3.502293419182763,0.0725585330101195,0.053903345724907,0.167905824039653,1.0405131415633149,3
el Vendrell,2153,4.473757547607989,275759.859615471,86.47220433222671,0.016261363091637,0.0074663338366176,3.56967891644544,0.0125563783679871,0.0919647004180213,0.1737111007895959,1.0408508655835766,4
Reus,2791,3.657470440702258,347803.79703170445,82.79071578950357,0.0129120164961083,0.0072479988177702,3.5155957983236616,0.060862657765222,0.0472948763883912,0.1250447868147617,1.0393640782309046,3
Tortosa,1525,4.461639344262295,287357.63235698483,131.15364324828153,0.0252097755672858,0.0115748137736577,3.540312974074617,0.0389359309236281,0.1272131147540983,0.1593442622950819,1.1185363251205689,5
Amposta,1232,4.170454545454546,265724.0869697159,138.68689299045715,0.0189786030527495,0.0094734122852728,3.4466861588480446,0.1206567079426672,0.0641233766233766,0.2589285714285714,1.0371374313496518,3
Gandesa,290,4.965517241379311,47792.26021674747,113.5208081157897,0.0414774987073937,0.0178852961062721,3.419891663430604,0.1433757209241126,0.096551724137931,0.1517241379310344,1.1130230115754651,5
Falset,204,4.754901960784314,32458.730635356274,113.89028293107464,0.0489164426439746,0.0224353018847069,3.5129177102888405,0.0632232099838495,0.1372549019607843,0.1078431372549019,1.1216665404095023,5
Montblanc,509,4.526522593320236,77613.15025527374,106.4652266876183,0.0375806191621218,0.0173955584528788,3.4837232516563628,0.0887634502686738,0.1198428290766208,0.1335952848722986,1.0916286353688065,5
