,Number of Nodes,Average Node Degree,Total Length (m),Average Street Length (m),Average Betweenness Centrality (Nodes),Average Betweenness Centrality (Edges),Orientation Entropy,Normalized Measure of Orientation-Order,Proportion of Dead-ends,Proportion of k=4 Intersections,Detour Index
Number of Nodes,1.0,-0.5211033715438428,0.9857423864684268,,-0.6472741398743331,-0.6512242460110499,,,-0.3842850000880975,0.571481406318307,
Average Node Degree,-0.5211033715438428,1.0,-0.4638502028533252,0.4059124059609782,0.5999014907038055,0.4901398722362778,,,0.5486641247020749,-0.3650873052369529,0.308781268934898
Total Length (m),0.9857423864684268,-0.4638502028533252,1.0,,-0.5976597509831447,-0.6068840141553488,,,-0.3239710168073161,0.5296225127870727,
Average Street Length (m),,0.4059124059609782,,1.0,0.48079234884980526,0.4226028707058792,,,0.6393187218050859,-0.40206594434780213,0.6897492811016476
Average Betweenness Centrality (Nodes),-0.6472741398743331,0.5999014907038055,-0.5976597509831447,0.48079234884980526,1.0,0.9888352621779464,,,0.7918131701130331,-0.645967952734031,0.7833880765655312
Average Betweenness Centrality (Edges),-0.6512242460110499,0.4901398722362778,-0.6068840141553488,0.4226028707058792,0.9888352621779464,1.0,,,0.7581186339514248,-0.6468748977626971,0.7815045524293253
Orientation Entropy,,,,,,,1.0,-0.999700006390803,0.37469259059708865,-0.45312127952201386,
Normalized Measure of Orientation-Order,,,,,,,-0.999700006390803,1.0,-0.3756056279628686,0.45748477709737423,
Proportion of Dead-ends,-0.3842850000880975,0.5486641247020749,-0.3239710168073161,0.6393187218050859,0.7918131701130331,0.7581186339514248,0.37469259059708865,-0.3756056279628686,1.0,-0.7224670873966027,0.8717290178967679
Proportion of k=4 Intersections,0.571481406318307,-0.3650873052369529,0.5296225127870727,-0.40206594434780213,-0.645967952734031,-0.6468748977626971,-0.45312127952201386,0.45748477709737423,-0.7224670873966027,1.0,-0.6513535013893607
Detour Index,,0.308781268934898,,0.6897492811016476,0.7833880765655312,0.7815045524293253,,,0.8717290178967679,-0.6513535013893607,1.0
