Capital,Number of Nodes,Average Node Degree,Total Length (m),Average Street Length (m),Average Betweenness Centrality (Nodes),Average Betweenness Centrality (Edges),Orientation Entropy,Normalized Measure of Orientation-Order,Proportion of Dead-ends,Proportion of k=4 Intersections,Detour Index
Barcelona,8885,3.7120990433314573,1392727.8832879192,99.84428154619823,0.005011189266550628,0.002757883714011341,3.462362082457871,0.1072272504012356,0.07236916150815982,0.29296567248171074,1.0493215491359136
Girona,2104,4.173003802281369,268903.538751483,87.87697344819706,0.016733581265998214,0.00823631655610456,3.5446243541464453,0.035085368181690835,0.09838403041825095,0.15161596958174905,1.0689629696515566
Lleida,3240,4.178395061728395,626246.0747567256,128.75124892202416,0.012194720606194913,0.005978218297651963,3.5491635412019975,0.03102302812092783,0.06635802469135803,0.15185185185185185,1.0530320066921952
Tarragona,2768,3.8908959537572256,431954.8774003977,107.74629019715582,0.012893790744596746,0.006803455686518615,3.565359390806284,0.0164590303879647,0.0968208092485549,0.10765895953757225,1.0807993206388822
Mataró,1718,3.9243306169965075,220399.80654042296,82.208059134809,0.016571975796497676,0.00872913078396244,3.526996571196281,0.0507804147691151,0.047729918509895226,0.2159487776484284,1.0584112763487021
Sabadell,3144,4.001908396946565,398494.7039479566,79.36560524755161,0.011129924511234741,0.005715561207545286,3.4075173311259572,0.1537675305368963,0.04071246819338423,0.28880407124681934,1.036334844148231
Terrassa,3654,3.8445539135194307,501453.8274987275,87.45270796978156,0.009386362358380505,0.005020655523849382,3.4472075769980366,0.12021164884551439,0.05747126436781609,0.26354679802955666,1.044047097262115
Manresa,1524,3.854330708661417,221078.40212810776,99.31644300454077,0.01639017852077646,0.008828128561766584,3.5767323893832415,0.006167018249247036,0.09776902887139108,0.13648293963254593,1.0792906140890073
Vic,1295,4.012355212355212,168060.06544762102,86.2731342133578,0.02191039466130283,0.011284766695063285,3.527091255189287,0.05069645584164528,0.055598455598455596,0.15212355212355214,1.0372875771873695
Igualada,982,4.226069246435845,113025.93343149243,73.63252992279638,0.023457804990865354,0.011559813623722015,3.426465241003212,0.13782951987447767,0.034623217922606926,0.20570264765784113,1.0203654949880108
