Capital,Number of Nodes,Number of Edges,Average Node Degree,Total Length (m),Average Edge Length (m),Betweenness Centrality (Nodes),Betweenness Centrality (Edges),Orientation Entropy,Proportion of Dead-ends,Proportion of k=4 Intersections,Detour Index
Barcelona,8885,16491,3.7120990433314573,1392727.8832879232,84.45381622023669,0.005011189266550603,0.002757883714011394,3.476279382027268,0.01193021947101857,0.31828925154755205,1.0493215491359174
Girona,2104,4390,4.173003802281369,268903.53875148273,61.25365347414185,0.01673358126599819,0.008236316556104583,3.541654251977151,0.005703422053231939,0.1905893536121673,1.0689629696515552
Lleida,3240,6769,4.178395061728395,626246.0747567248,92.51677866106142,0.01219472060619489,0.005978218297651914,3.540994546286005,0.005246913580246914,0.18549382716049384,1.0530320066921939
Tarragona,2768,5385,3.8908959537572256,431954.877400398,80.21446191279443,0.012893790744596715,0.006803455686518617,3.56631063435258,0.01083815028901734,0.21856936416184972,1.080799320638883
Mataró,1718,3371,3.9243306169965075,220399.80654042264,65.38113513510017,0.016571975796497676,0.008729130783962435,3.5251225841438,0.002910360884749709,0.2607683352735739,1.0584112763487015
Sabadell,3144,6291,4.001908396946565,398494.7039479556,63.34361849434996,0.011129924511234747,0.0057155612075452744,3.4230071540734692,0.004452926208651399,0.2973918575063613,1.0363348441482285
Terrassa,3654,7024,3.8445539135194307,501453.8274987276,71.39149024754094,0.009386362358380525,0.005020655523849357,3.465100841164858,0.005747126436781609,0.30021893814997264,1.0440470972621152
Manresa,1524,2937,3.854330708661417,221078.4021281081,75.27354515768066,0.016390178520776462,0.00882812856176662,3.5738424118610697,0.004593175853018373,0.21325459317585302,1.0792906140890088
Vic,1295,2598,4.012355212355212,168060.06544762108,64.68824690054699,0.02191039466130286,0.011284766695063354,3.511010599964771,0.007722007722007722,0.2571428571428571,1.03728757718737
Igualada,982,2075,4.226069246435845,113025.93343149255,54.470329364574724,0.023457804990865375,0.01155981362372201,3.4226536422384544,0.002036659877800407,0.2545824847250509,1.0203654949880119
Vilafranca del Penedès,787,1611,4.094027954256671,106141.6323653924,65.88555702383141,0.025718261286595333,0.013129945356432936,3.462289387208981,0.012706480304955527,0.289707750952986,1.041662071203477
Vilanova i la Geltrú,1614,3009,3.7286245353159853,211632.58573377374,70.33319565761839,0.018483968647516464,0.010222246841373099,3.484905759088735,0.00929368029739777,0.22862453531598512,1.0405131415633153
El Vendrell,2153,4816,4.473757547607989,275759.85961547075,57.259107063013026,0.016261363091637025,0.007466333836617594,3.569677581094084,0.0074314909428704135,0.20111472364143057,1.0408508655835758
Reus,2791,5104,3.6574704407022574,347803.7970317037,68.14337716138395,0.012912016496108366,0.0072479988177701704,3.509523215060362,0.00680759584378359,0.25152275170189897,1.0393640782309024
Tortosa,1525,3402,4.461639344262295,287357.63235698396,84.46726406730863,0.025209775567285857,0.011574813773657655,3.5357881218152754,0.011147540983606558,0.17311475409836066,1.1185363251205653
Amposta,1232,2569,4.170454545454546,265724.086969716,103.43483338642118,0.018978603052749583,0.009473412285272882,3.4749564401380755,0.003246753246753247,0.2962662337662338,1.0371374313496522
Gandesa,290,720,4.9655172413793105,47792.260216747425,66.37813918992698,0.041477498707393694,0.01788529610627216,3.3860252815471306,0.0,0.13448275862068965,1.1130230115754642
Falset,204,485,4.754901960784314,32458.73063535629,66.92521780485833,0.04891644264397461,0.022435301884707028,3.4969811476758688,0.0,0.13725490196078433,1.1216665404095032
Montblanc,509,1152,4.5265225933202355,77613.1502552738,67.37252626325851,0.037580619162121826,0.017395558452878847,3.474402260008594,0.0019646365422396855,0.16699410609037327,1.0916286353688072
Valls,1231,2519,4.092607636068237,165571.93713750562,65.72923268658421,0.021725400430144957,0.010988291537595772,3.535877956541176,0.008123476848090982,0.20958570268074736,1.0784338473495503
Balaguer,672,1437,4.276785714285714,111340.80260359606,77.48142143604458,0.02844889415494381,0.013959130820163035,3.483538714301028,0.001488095238095238,0.22321428571428573,1.0566699914314124
Cervera,654,1510,4.617737003058104,121495.9237413992,80.46087664993324,0.02949042714534663,0.013390812773714858,3.493122679412637,0.0015290519877675841,0.154434250764526,1.0652339267725053
Solsona,585,1274,4.355555555555555,67920.43770136,53.31274544847724,0.0318771898960578,0.01536437870925303,3.549747093547996,0.0017094017094017094,0.22393162393162394,1.091869658956748
La Seu d'Urgell,483,1000,4.140786749482402,55277.180679618825,55.27718067961882,0.037915403692058945,0.019233176979974717,3.406498362015584,0.0,0.2443064182194617,1.0722324489197907
Sort,389,864,4.442159383033419,63737.26736338136,73.76998537428398,0.07284044131378428,0.03376605671575431,3.5491786866326684,0.012853470437017995,0.08483290488431877,1.3260662174587243
Tremp,226,469,4.150442477876106,28660.136860630875,61.10903381797628,0.05875816477033291,0.030195797246384947,3.475621941117918,0.0,0.1902654867256637,1.1611565679004339
Pont de Suert,189,468,4.9523809523809526,74928.29649465356,160.10319763814863,0.07246040475076776,0.031089948052122906,3.4977389083843873,0.0,0.042328042328042326,1.3704103881829544
Mollerussa,571,1174,4.112084063047285,57859.78258429248,49.284312252378605,0.03325725030985337,0.01696157761945003,3.364433846705891,0.0070052539404553416,0.2031523642732049,1.0239263626455357
Les Borges Blanques,456,1027,4.504385964912281,78329.75306031937,76.27045088638693,0.0319320412179211,0.015062251163824493,3.4168262849563855,0.0043859649122807015,0.16228070175438597,1.0522820715185628
Tàrrega,943,2007,4.256627783669141,126662.49707137837,63.11036226775205,0.027804661706063574,0.013514384479146805,3.498043603084646,0.012725344644750796,0.21208907741251326,1.0554476390693324
Olot,1395,3163,4.5347670250896055,168018.53189035563,53.11999111297997,0.02060541792268411,0.009384790904902825,3.520175075624554,0.005017921146953405,0.15555555555555556,1.062782601312999
Ripoll,453,990,4.370860927152318,60080.93934518966,60.687817520393594,0.04793692251041841,0.022843577702043392,3.530237263001187,0.002207505518763797,0.22737306843267108,1.1521500277407444
